geoid,name,B19013001,"B19013001, Error"
14000US36005040100,"Census Tract 401, Bronx, NY",25873,7513
14000US36005040302,"Census Tract 403.02, Bronx, NY",37318,9256
14000US36005040303,"Census Tract 403.03, Bronx, NY",34773,7004
14000US36005040304,"Census Tract 403.04, Bronx, NY",31765,2838
14000US36005040400,"Census Tract 404, Bronx, NY",92431,19401
14000US36005040501,"Census Tract 405.01, Bronx, NY",45930,13597
14000US36005040502,"Census Tract 405.02, Bronx, NY",38816,15413
14000US36005040600,"Census Tract 406, Bronx, NY",45982,7854
14000US36005040701,"Census Tract 407.01, Bronx, NY",45363,5252
14000US36005040702,"Census Tract 407.02, Bronx, NY",33750,5163
14000US36005040800,"Census Tract 408, Bronx, NY",34341,8936
14000US36005040900,"Census Tract 409, Bronx, NY",60278,17046
14000US36005041100,"Census Tract 411, Bronx, NY",38452,6866
14000US36005041300,"Census Tract 413, Bronx, NY",60646,9074
14000US36005041400,"Census Tract 414, Bronx, NY",61250,20018
14000US36005041500,"Census Tract 415, Bronx, NY",44707,12135
14000US36005041800,"Census Tract 418, Bronx, NY",67986,12619
14000US36005041900,"Census Tract 419, Bronx, NY",44444,9459
14000US36005042000,"Census Tract 420, Bronx, NY",31558,11541
14000US36005042100,"Census Tract 421, Bronx, NY",48943,11433
14000US36005042200,"Census Tract 422, Bronx, NY",64181,16581
14000US36005042300,"Census Tract 423, Bronx, NY",48897,13373
14000US36005042400,"Census Tract 424, Bronx, NY",77896,11546
14000US36005042500,"Census Tract 425, Bronx, NY",32421,12147
14000US36005042600,"Census Tract 426, Bronx, NY",82402,27802
14000US36005042800,"Census Tract 428, Bronx, NY",89762,20928
14000US36005042901,"Census Tract 429.01, Bronx, NY",38833,14786
14000US36005042902,"Census Tract 429.02, Bronx, NY",42331,9830
14000US36005043000,"Census Tract 430, Bronx, NY",59500,37240
14000US36005043101,"Census Tract 431.01, Bronx, NY",39681,14531
14000US36005043102,"Census Tract 431.02, Bronx, NY",32759,3308
14000US36005043400,"Census Tract 434, Bronx, NY",101875,53435
14000US36005043501,"Census Tract 435.01, Bronx, NY",27391,19927
14000US36005043502,"Census Tract 435.02, Bronx, NY",,
14000US36005043503,"Census Tract 435.03, Bronx, NY",,
14000US36005043600,"Census Tract 436, Bronx, NY",73550,15046
14000US36005044200,"Census Tract 442, Bronx, NY",42009,28032
14000US36005044400,"Census Tract 444, Bronx, NY",96094,37453
14000US36005044800,"Census Tract 448, Bronx, NY",101667,41935
14000US36005044901,"Census Tract 449.01, Bronx, NY",90000,34226
14000US36005044902,"Census Tract 449.02, Bronx, NY",98542,33192
14000US36005045101,"Census Tract 451.01, Bronx, NY",54986,29084
14000US36005045102,"Census Tract 451.02, Bronx, NY",85461,6298
14000US36005045600,"Census Tract 456, Bronx, NY",104190,17026
14000US36005045800,"Census Tract 458, Bronx, NY",28850,4378
14000US36005046000,"Census Tract 460, Bronx, NY",38937,16959
14000US36005046203,"Census Tract 462.03, Bronx, NY",43106,21620
14000US36005046204,"Census Tract 462.04, Bronx, NY",72088,17192
14000US36005046205,"Census Tract 462.05, Bronx, NY",49219,20695
14000US36005046206,"Census Tract 462.06, Bronx, NY",37343,15456
14000US36005046207,"Census Tract 462.07, Bronx, NY",56157,13611
14000US36005046208,"Census Tract 462.08, Bronx, NY",78339,12567
14000US36005046209,"Census Tract 462.09, Bronx, NY",42121,25248
14000US36005048401,"Census Tract 484.01, Bronx, NY",87870,20439
14000US36005048402,"Census Tract 484.02, Bronx, NY",,
14000US36005050400,"Census Tract 504, Bronx, NY",,
14000US36005051601,"Census Tract 516.01, Bronx, NY",118972,20071
14000US36005051602,"Census Tract 516.02, Bronx, NY",,
14000US36047000100,"Census Tract 1, Kings, NY",134738,47227
14000US36047000200,"Census Tract 2, Kings, NY",58882,15570
14000US36047000301,"Census Tract 3.01, Kings, NY",179936,101166
14000US36047000501,"Census Tract 5.01, Kings, NY",141354,30955
14000US36047000502,"Census Tract 5.02, Kings, NY",155600,10843
14000US36047000700,"Census Tract 7, Kings, NY",186422,35452
14000US36047000900,"Census Tract 9, Kings, NY",198590,54280
14000US36047001100,"Census Tract 11, Kings, NY",154167,34801
14000US36047001300,"Census Tract 13, Kings, NY",125673,18087
14000US36047001501,"Census Tract 15.01, Kings, NY",86172,36737
14000US36047001502,"Census Tract 15.02, Kings, NY",122159,20626
14000US36047001801,"Census Tract 18.01, Kings, NY",,
14000US36047001802,"Census Tract 18.02, Kings, NY",,
14000US36047001803,"Census Tract 18.03, Kings, NY",,
14000US36047001804,"Census Tract 18.04, Kings, NY",,
14000US36047002000,"Census Tract 20, Kings, NY",65313,36485
14000US36047002100,"Census Tract 21, Kings, NY",250001,
14000US36047002200,"Census Tract 22, Kings, NY",38309,5052
14000US36047002300,"Census Tract 23, Kings, NY",21342,3252
14000US36047002901,"Census Tract 29.01, Kings, NY",24600,9468
