geoid,count,name,median_household_income,"B19013001, Error",COUNTY,CTLabel,TRACT,_merge
36047057300,1.0,"Census Tract 573, Kings, NY",93036.0,55637.0,47.0,573.0,57300.0,both
36085019800,1.0,"Census Tract 198, Richmond, NY",88013.0,35887.0,85.0,198.0,19800.0,both
36005000200,,"Census Tract 2, Bronx, NY",70867.0,25423.0,5.0,2.0,200.0,right_only
36005000400,,"Census Tract 4, Bronx, NY",98090.0,18180.0,5.0,4.0,400.0,right_only
36005001902,,"Census Tract 19.02, Bronx, NY",60804.0,12156.0,5.0,19.02,1902.0,right_only
36005002001,,"Census Tract 20.01, Bronx, NY",20870.0,10614.0,5.0,20.01,2001.0,right_only
36005002300,,"Census Tract 23, Bronx, NY",22177.0,7257.0,5.0,23.0,2300.0,right_only
36005002701,,"Census Tract 27.01, Bronx, NY",18686.0,3057.0,5.0,27.01,2701.0,right_only
36005002702,,"Census Tract 27.02, Bronx, NY",14681.0,12224.0,5.0,27.02,2702.0,right_only
36005002800,,"Census Tract 28, Bronx, NY",54321.0,10891.0,5.0,28.0,2800.0,right_only
36005003100,,"Census Tract 31, Bronx, NY",34276.0,16573.0,5.0,31.0,3100.0,right_only
36005003300,,"Census Tract 33, Bronx, NY",20129.0,12453.0,5.0,33.0,3300.0,right_only
36005003700,,"Census Tract 37, Bronx, NY",37321.0,30214.0,5.0,37.0,3700.0,right_only
36005003800,,"Census Tract 38, Bronx, NY",83295.0,31789.0,5.0,38.0,3800.0,right_only
36005003900,,"Census Tract 39, Bronx, NY",20049.0,9732.0,5.0,39.0,3900.0,right_only
36005004001,,"Census Tract 40.01, Bronx, NY",64087.0,15215.0,5.0,40.01,4001.0,right_only
36005004100,,"Census Tract 41, Bronx, NY",20551.0,6544.0,5.0,41.0,4100.0,right_only
36005004200,,"Census Tract 42, Bronx, NY",57250.0,32071.0,5.0,42.0,4200.0,right_only
36005004400,,"Census Tract 44, Bronx, NY",15750.0,3188.0,5.0,44.0,4400.0,right_only
36005004600,,"Census Tract 46, Bronx, NY",29145.0,11846.0,5.0,46.0,4600.0,right_only
36005004800,,"Census Tract 48, Bronx, NY",33500.0,18974.0,5.0,48.0,4800.0,right_only
36005005001,,"Census Tract 50.01, Bronx, NY",28353.0,4831.0,5.0,50.01,5001.0,right_only
36005005002,,"Census Tract 50.02, Bronx, NY",34013.0,9630.0,5.0,50.02,5002.0,right_only
36005005100,,"Census Tract 51, Bronx, NY",19731.0,2822.0,5.0,51.0,5100.0,right_only
36005005200,,"Census Tract 52, Bronx, NY",21397.0,10292.0,5.0,52.0,5200.0,right_only
36005005300,,"Census Tract 53, Bronx, NY",20449.0,4459.0,5.0,53.0,5300.0,right_only
36005005400,,"Census Tract 54, Bronx, NY",45625.0,7008.0,5.0,54.0,5400.0,right_only
36005005600,,"Census Tract 56, Bronx, NY",40341.0,18035.0,5.0,56.0,5600.0,right_only
36005005902,,"Census Tract 59.02, Bronx, NY",44917.0,19979.0,5.0,59.02,5902.0,right_only
36005006000,,"Census Tract 60, Bronx, NY",34239.0,8749.0,5.0,60.0,6000.0,right_only
36005006100,,"Census Tract 61, Bronx, NY",60685.0,19980.0,5.0,61.0,6100.0,right_only
36005006200,,"Census Tract 62, Bronx, NY",24769.0,9198.0,5.0,62.0,6200.0,right_only
36005006400,,"Census Tract 64, Bronx, NY",35144.0,12605.0,5.0,64.0,6400.0,right_only
36005006700,,"Census Tract 67, Bronx, NY",15957.0,3536.0,5.0,67.0,6700.0,right_only
36005006800,,"Census Tract 68, Bronx, NY",38125.0,17802.0,5.0,68.0,6800.0,right_only
36005006900,,"Census Tract 69, Bronx, NY",32887.0,16998.0,5.0,69.0,6900.0,right_only
36005007000,,"Census Tract 70, Bronx, NY",53014.0,16040.0,5.0,70.0,7000.0,right_only
36005007100,,"Census Tract 71, Bronx, NY",43079.0,5858.0,5.0,71.0,7100.0,right_only
36005007200,,"Census Tract 72, Bronx, NY",54097.0,13340.0,5.0,72.0,7200.0,right_only
36005007300,,"Census Tract 73, Bronx, NY",25619.0,6243.0,5.0,73.0,7300.0,right_only
36005007400,,"Census Tract 74, Bronx, NY",37352.0,10469.0,5.0,74.0,7400.0,right_only
36005007500,,"Census Tract 75, Bronx, NY",30413.0,10065.0,5.0,75.0,7500.0,right_only
36005007600,,"Census Tract 76, Bronx, NY",51625.0,16248.0,5.0,76.0,7600.0,right_only
36005007700,,"Census Tract 77, Bronx, NY",48333.0,14767.0,5.0,77.0,7700.0,right_only
