wkt_geom,MEAN_X,MEAN_Y,object_id,lat,lon,GEOID,STATE,COUNTY,TRACT,BLOCK
Point (985961.28199855238199234 202881.20419547706842422),985961.2819985524,202881.20419547707,418.0,40.72354,-73.993826,360610043001001,36,061,004300,1001
Point (986001.85967329889535904 192072.27879893779754639),986001.859673299,192072.27879893783,77.0,40.693870000000004,-73.99368249999999,360470005022001,36,047,000502,2001
Point (986032.24314272403717041 206337.60541914403438568),986032.243142724,206337.60541914406,169.0,40.73302,-73.993569,360610061001004,36,061,006100,1004
Point (986079.07703855633735657 203616.67204868793487549),986079.0770385565,203616.67204868796,175.0,40.725559999999994,-73.99340079999999,360610055021003,36,061,005502,1003
Point (986153.32246092706918716 203838.71950484812259674),986153.3224609272,203838.7195048481,466.0,40.72617,-73.9931329,360610055021002,36,061,005502,1002
Point (986163.72122622281312943 202142.97027168422937393),986163.7212262228,202142.97027168426,469.0,40.721509999999995,-73.99309579999999,360610036013002,36,061,003601,3002
Point (986173.70939522236585617 206554.53428318351507187),986173.7093952224,206554.53428318352,178.0,40.73362,-73.99305849999999,360610061001002,36,061,006100,1002
Point (986259.50236668437719345 181078.50436264276504517),986259.5023666844,181078.50436264282,448.00000000000006,40.66369,-73.9927567,360470143001005,36,047,014300,1005
Point (986284.12190406024456024 203544.36871560662984848),986284.1219040601,203544.36871560663,465.0,40.725359999999995,-73.992661,360610055021003,36,061,005502,1003
Point (986301.01786763221025467 192931.66208672523498535),986301.0178676322,192931.66208672523,78.0,40.69623,-73.99260340000001,360470005021001,36,047,000502,1001
Point (986319.99191105365753174 206778.39686039090156555),986319.9919110535,206778.3968603909,179.0,40.73423,-73.9925306,360610061001001,36,061,006100,1001
Point (986333.05471301078796387 202076.6272285133600235),986333.0547130108,202076.62722851336,250.0,40.72133,-73.992485,360610036013002,36,061,003601,3002
Point (986345.28779222071170807 191348.44658518582582474),986345.2877922208,191348.44658518585,43.0,40.69188,-73.99244420000001,360470009001003,36,047,000900,1003
Point (986397.52013526856899261 194641.2569286897778511),986397.5201352686,194641.25692868978,44.0,40.70092,-73.9922548,360470001003001,36,047,000100,3001
Point (986416.28289300948381424 201127.60337197780609131),986416.2828930094,201127.6033719778,174.0,40.718720000000005,-73.99218499999999,360610018007002,36,061,001800,7002
Point (986555.17090263962745667 209449.05129597336053848),986555.1709026395,209449.0512959734,257.0,40.74156,-73.9916811,360610058003001,36,061,005800,3001
Point (986602.81975746899843216 199694.58934168517589569),986602.8197574691,199694.5893416852,45.0,40.71479,-73.9915126,360610016005001,36,061,001600,5001
Point (986725.68368497490882874 201921.79322060197591782),986725.6836849748,201921.793220602,248.0,40.7209,-73.9910686,360610036012001,36,061,003601,2001
Point (986760.10782872140407562 199631.83192126452922821),986760.1078287214,199631.83192126453,46.0,40.714620000000004,-73.99094529999999,360610016005000,36,061,001600,5000
Point (986762.9047391340136528 200104.47549697756767273),986762.904739134,200104.47549697763,171.0,40.715920000000004,-73.990935,360610016004001,36,061,001600,4001
Point (986764.75988634675741196 205789.75021564215421677),986764.7598863469,205789.7502156421,177.0,40.73152,-73.9909261,360610061003004,36,061,006100,3004
Point (986837.40606650710105896 195610.94839481264352798),986837.4060665072,195610.94839481264,79.0,40.70358,-73.990668,360470021001001,36,047,002100,1001
Point (986852.00938376039266586 185997.45876356214284897),986852.0093837605,185997.4587635621,60.0,40.6772,-73.9906191,360470077001004,36,047,007700,1004
Point (986885.31935650855302811 204014.58201401680707932),986885.3193565086,204014.5820140168,176.0,40.72665,-73.9904918,360610038003000,36,061,003800,3000
Point (986886.62184734642505646 199583.81019972264766693),986886.6218473464,199583.81019972265,79.99999999999999,40.714490000000005,-73.9904889,360610016005000,36,061,001600,5000
Point (986890.05015414208173752 200938.08111322671175003),986890.0501541421,200938.0811132267,173.0,40.7182,-73.990476,360610018002003,36,061,001800,2003
Point (986891.897263303399086 200743.41614822298288345),986891.8972633034,200743.41614822292,172.0,40.71767,-73.9904694,360610018001003,36,061,001800,1003
Point (986954.50376538932323456 201829.41479643434286118),986954.5037653892,201829.41479643434,249.0,40.72065,-73.9902431,360610036011001,36,061,003601,1001
Point (987004.2595713883638382 192711.38710076361894608),987004.2595713885,192711.3871007636,417.0,40.69562,-73.99006740000002,360470013001021,36,047,001300,1021
Point (987015.02037663757801056 201059.89993126690387726),987015.0203766377,201059.8999312669,419.0,40.718540000000004,-73.9900251,360610018002003,36,061,001800,2003
Point (987062.29406818002462387 200869.58879613876342773),987062.29406818,200869.5887961388,180.0,40.71802,-73.9898547,360610018002007,36,061,001800,2007
Point (987132.27932846546173096 195351.05226106196641922),987132.2793284656,195351.05226106197,50.0,40.702870000000004,-73.98960459999999,360470021001010,36,047,002100,1010
Point (987144.88625863194465637 181653.49222185462713242),987144.8862586321,181653.49222185466,24.0,40.66527,-73.9895651,360470141021000,36,047,014102,1000
Point (987163.2331707626581192 208964.9595804363489151),987163.2331707628,208964.95958043632,256.0,40.74024,-73.989487,360610056003001,36,061,005600,3001
Point (987201.74900580197572708 216311.2304849773645401),987201.749005802,216311.23048497734,265.0,40.7604,-73.9893448,360610127002001,36,061,012700,2001
Point (987201.88187955319881439 201730.70600435137748718),987201.8818795531,201730.70600435138,181.0,40.72038,-73.9893507,360610018003003,36,061,001800,3003
Point (987226.49091826379299164 209236.89637251943349838),987226.4909182638,209236.89637251946,462.0,40.74098,-73.98925859999999,360610056002002,36,061,005600,2002
Point (987274.72950288653373718 210125.15919572860002518),987274.7295028869,210125.1591957286,184.0,40.74342,-73.98908409999999,360610058002001,36,061,005800,2001
Point (987314.29307205229997635 210398.95457988977432251),987314.2930720523,210398.95457988977,264.0,40.744170000000004,-73.9889412,360610058001002,36,061,005800,1002
Point (987353.3363010510802269 210670.51899739354848862),987353.3363010512,210670.51899739355,190.0,40.74492,-73.9888002,360610058001001,36,061,005800,1001
Point (987355.64633580297231674 208430.27872722595930099),987355.646335803,208430.27872722602,455.0,40.73877,-73.9887929,360610052001000,36,061,005200,1000
Point (987357.74934997409582138 204901.06925022602081299),987357.7493499741,204901.06925022602,183.0,40.729079999999996,-73.988787,360610038001000,36,061,003800,1000
Point (987360.16240289062261581 202155.82999005913734436),987360.1624028906,202155.82999005914,253.0,40.72155,-73.9887795,360610030011002,36,061,003001,1002
Point (987372.6280931755900383 201665.23172584921121597),987372.6280931756,201665.2317258492,251.0,40.7202,-73.9887348,360610030012001,36,061,003001,2001
Point (987395.85458871722221375 199353.87726064026355743),987395.8545887172,199353.87726064023,51.0,40.71386,-73.9886521,360610006003000,36,061,000600,3000
Point (987426.13208721578121185 199095.88630680739879608),987426.1320872158,199095.88630680746,83.0,40.71315,-73.988543,360610006004000,36,061,000600,4000
Point (987433.14814930409193039 189778.20825584977865219),987433.1481493041,189778.20825584978,65.0,40.68757,-73.9885222,360470043003000,36,047,004300,3000
Point (987522.88058138638734818 191409.22746755927801132),987522.8805813864,191409.22746755925,47.0,40.69205,-73.9881978,360470011001005,36,047,001100,1005
Point (987531.06462013721466064 191683.21478047221899033),987531.0646201372,191683.21478047228,49.0,40.6928,-73.9881682,360470011001001,36,047,001100,1001
Point (987535.555916927754879 202086.2632000595331192),987535.5559169278,202086.26320005953,254.0,40.72136,-73.9881468,360610030011001,36,061,003001,1001
Point (987559.00419680029153824 201834.10458364337682724),987559.0041968005,201834.10458364335,252.0,40.720659999999995,-73.9880624,360610030012001,36,061,003001,2001
Point (987563.28289559483528137 182311.85852322727441788),987563.2828955948,182311.85852322727,25.0,40.66708,-73.9880566,360470139002000,36,047,013900,2000
Point (987580.97046957910060883 190286.50202272832393646),987580.9704695792,190286.50202272832,506.0,40.68897,-73.9879889,360470043002000,36,047,004300,2000
Point (987644.24795676022768021 207713.12120485305786133),987644.24795676,207713.12120485306,454.0,40.7368,-73.9877518,360610050001001,36,061,005000,1001
Point (987648.77944376319646835 191487.05047464370727539),987648.7794437631,191487.0504746437,48.0,40.69226,-73.98774379999999,360470011001001,36,047,001100,1001
Point (987678.32334793359041214 188773.21830389648675919),987678.3233479336,188773.2183038965,64.0,40.68481,-73.9876386,360470071001001,36,047,007100,1001
Point (987685.54232955724000931 207273.51726122200489044),987685.5423295572,207273.517261222,255.0,40.73559,-73.98760300000001,360610050002000,36,061,005000,2000
Point (987702.75768226385116577 182531.47274935245513916),987702.7576822641,182531.47274935246,62.0,40.66768,-73.9875538,360470139003001,36,047,013900,3001
Point (987737.00471569097135216 207940.60111953318119049),987737.004715691,207940.6011195332,520.0,40.73742,-73.98741700000001,360610050001001,36,061,005000,1001
Point (987797.80818113684654236 180196.82157876342535019),987797.8081811368,180196.82157876343,23.0,40.66127,-73.9872124,360470149022001,36,047,014902,2001
Point (987812.53059263527393341 201490.50635351985692978),987812.5305926352,201490.50635351986,182.0,40.71972,-73.98714790000001,360610030014002,36,061,003001,4002
Point (987842.00740376859903336 182750.95885893702507019),987842.0074037686,182750.95885893703,63.0,40.668279999999996,-73.9870517,360470139003000,36,047,013900,3000
Point (987896.9590655118227005 211694.70690964162349701),987896.9590655118,211694.7069096416,266.0,40.74773,-73.9868378,360610076001003,36,061,007600,1003
Point (987914.7648041769862175 189969.70721668750047684),987914.764804177,189969.7072166875,81.0,40.6881,-73.9867855,360470043002002,36,047,004300,2002
Point (987921.75855659693479538 165447.74773051589727402),987921.758556597,165447.7477305159,7.000000000000001,40.62079,-73.98677370000001,360470244002002,36,047,024400,2002
Point (987983.75367539376020432 214500.33138368278741837),987983.7536753938,214500.33138368282,191.0,40.75543,-73.98652290000001,360610113001001,36,061,011300,1001
Point (987986.70937813818454742 158329.72276055812835693),987986.7093781384,158329.72276055813,18.0,40.60125,-73.98654379999999,360470298001006,36,047,029800,1006
Point (988031.856269471347332 190196.49498489499092102),988031.8562694712,190196.494984895,52.0,40.68872,-73.98636309999999,360470043002000,36,047,004300,2000
Point (988036.84133167564868927 189469.02892014384269714),988036.8413316756,189469.02892014387,27.0,40.68672,-73.98634559999999,360470041002000,36,047,004100,2000
Point (988048.31604626029729843 191256.52714960277080536),988048.3160462604,191256.5271496028,53.0,40.691629999999996,-73.9863032,360470011001006,36,047,001100,1006
Point (988085.05323219299316406 208602.06808180609368719),988085.053232193,208602.0680818061,507.0,40.73924,-73.98616070000001,360610068002001,36,061,006800,2001
Point (988250.10566892474889755 179831.74045197665691376),988250.1056689249,179831.74045197663,61.0,40.660270000000004,-73.9855824,360470149022002,36,047,014902,2002
Point (988270.18354871869087219 206810.68846247345209122),988270.1835487188,206810.68846247342,259.0,40.734320000000004,-73.9854937,360610048003000,36,061,004800,3000
Point (988275.40565113723278046 189931.74321781098842621),988275.4056511372,189931.74321781102,82.0,40.68799,-73.98548509999999,360470041001002,36,047,004100,1002
Point (988279.85774197429418564 188466.88016985356807709),988279.8577419744,188466.8801698536,26.0,40.68397,-73.9854699,360470071001000,36,047,007100,1000
Point (988343.12139497196767479 199420.72992658615112305),988343.1213949721,199420.72992658612,530.0,40.714040000000004,-73.9852351,360610002021003,36,061,000202,1003
Point (988353.34315930306911469 212664.79508319497108459),988353.3431593031,212664.79508319497,510.0,40.75039,-73.9851901,360610084002003,36,061,008400,2003
Point (988355.41812235116958618 208018.15028639882802963),988355.4181223513,208018.15028639886,261.0,40.73764,-73.9851854,360610050005001,36,061,005000,5001
Point (988404.72576650977134705 206583.8567311018705368),988404.7257665099,206583.85673110184,186.0,40.7337,-73.9850084,360610048003001,36,061,004800,3001
Point (988413.39274393022060394 216081.12923914194107056),988413.3927439301,216081.12923914194,268.0,40.75977,-73.9849712,360610125004000,36,061,012500,4000
