wkt_geom	MEAN_X	MEAN_Y	object_id	lat	lon
Point (986163.72122622281312943 202142.97027168422937393)	986163.7212262228	202142.97027168423	469	40.72151	-73.9930958
Point (986173.70939522236585617 206554.53428318351507187)	986173.7093952224	206554.53428318352	178	40.73362	-73.9930585
Point (986259.50236668437719345 181078.50436264276504517)	986259.5023666844	181078.50436264277	448.00000000000006	40.66369	-73.9927567
Point (986284.12190406024456024 203544.36871560662984848)	986284.1219040602	203544.36871560663	465	40.72536	-73.992661
Point (986301.01786763221025467 192931.66208672523498535)	986301.0178676322	192931.66208672523	78	40.69623	-73.9926034
Point (986319.99191105365753174 206778.39686039090156555)	986319.9919110537	206778.3968603909	179	40.73423	-73.9925306
Point (986333.05471301078796387 202076.6272285133600235)	986333.0547130109	202076.62722851336	250	40.72133	-73.992485
Point (986345.28779222071170807 191348.44658518582582474)	986345.2877922207	191348.44658518583	43	40.69188	-73.9924442
Point (986397.52013526856899261 194641.2569286897778511)	986397.5201352686	194641.25692868978	44	40.70092	-73.9922548
Point (986416.28289300948381424 201127.60337197780609131)	986416.2828930094	201127.6033719778	174	40.71872	-73.992185
Point (986555.17090263962745667 209449.05129597336053848)	986555.1709026396	209449.0512959734	257	40.74156	-73.9916811
Point (986602.81975746899843216 199694.58934168517589569)	986602.819757469	199694.58934168518	45	40.71479	-73.9915126
Point (986725.68368497490882874 201921.79322060197591782)	986725.6836849749	201921.79322060198	248	40.7209	-73.9910686
Point (986760.10782872140407562 199631.83192126452922821)	986760.1078287214	199631.83192126453	46	40.71462	-73.9909453
Point (986762.9047391340136528 200104.47549697756767273)	986762.904739134	200104.47549697757	171	40.71592	-73.990935
Point (986764.75988634675741196 205789.75021564215421677)	986764.7598863468	205789.75021564215	177	40.73152	-73.9909261
Point (986837.40606650710105896 195610.94839481264352798)	986837.4060665071	195610.94839481264	79	40.70358	-73.990668
Point (986852.00938376039266586 185997.45876356214284897)	986852.0093837604	185997.45876356214	60	40.6772	-73.9906191
Point (986885.31935650855302811 204014.58201401680707932)	986885.3193565086	204014.5820140168	176	40.72665	-73.9904918
Point (986886.62184734642505646 199583.81019972264766693)	986886.6218473464	199583.81019972265	79.99999999999999	40.71449	-73.9904889
Point (986890.05015414208173752 200938.08111322671175003)	986890.0501541421	200938.0811132267	173	40.7182	-73.990476
Point (986891.897263303399086 200743.41614822298288345)	986891.8972633034	200743.41614822295	172	40.71767	-73.9904694
Point (986954.50376538932323456 201829.41479643434286118)	986954.5037653893	201829.41479643434	249	40.72065	-73.9902431
